user_id,isbn,rating,book_title,book_author,year_of_publication
256167,0590877607,0,"Realm of the Reaper (Everworld, 4)",K. A. Applegate,1999.0
41831,0449908208,8,"Against Our Will: Men, Women and Rape",Susan Brownmiller,1993.0
56307,0312983867,0,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003.0
51100,074323491X,7,Perelandra (Space Trilogy (Paperback)),C.S. Lewis,2003.0
92810,0525945636,8,Code to Zero,Ken Follett,2000.0
7210,1855013592,5,The Sonnets: An Illustrated Edition,William Shakespeare,1995.0
230522,0380763737,0,Task Force,Mike Dunn,1992.0
198711,0307102661,0,The perfect picnic (A Big little golden book),Betsy Maestro,1986.0
11676,0836261283,0,Body Count,William X. Kienzle,1992.0
268110,0874836050,0,Listening for the Crack of Dawn (American Storytelling (Paper)),Donald Davis,2000.0
153662,0441007007,0,In the Shadow of the Gargoyle,Nancy Kilpatrick,1999.0
161343,0553293354,9,Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1991.0
199359,034541389X,0,Flesh and Blood,Jonathan Kellerman,2002.0
45340,0440411394,9,Under the Blood-Red Sun,GRAHAM SALISBURY,1995.0
257700,0393314812,9,Ar'N't I A Woman?: Female Slaves in the Plantation South,Deborah Gray White,1999.0
250367,0684810387,0,MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996.0
2425,0425175006,7,The Body on the Beach: A Fethering Mystery (Fethering Mysteries (Hardcover)),Simon Brett,2000.0
209376,0312421273,8,The Corrections: A Novel,Jonathan Franzen,2002.0
50560,0375506039,0,Open House,Elizabeth Berg,2000.0
232066,0345434765,0,Dark Justice,William Bernhardt,1999.0
21774,0316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002.0
75591,0963411233,7,"The Used Book Lover's Guide to the Midwest: Ohio, Indiana, Illinois, Michigan, Wisconsin, Minnesota, Iowa, Missouri, Kentucky, and West Virginia (Siegel, David S. Used Book Lover's Guide Series.)",David S. Siegel,1994.0
102702,0312974485,0,The Samurai's Wife (A Sano Ichiro Mystery),Laura Joh Rowland,2001.0
226879,0812507916,0,Die for Love,Elizabeth Peters,1987.0
205536,1569714371,0,Too Much Coffee Man: Parade of Tirade,Shannon Wheeler,2000.0
86392,0312864256,0,"Winter's Heart (The Wheel of Time, Book 9)",Robert Jordan,2000.0
197763,0060512806,0,Cryptonomicon,Neal Stephenson,2002.0
196047,0060928336,0,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997.0
154160,0525936610,0,Cause of Death,"Cyril, M.D. Wecht",1993.0
24544,0451163508,0,Lie Down With Lions (Signet),Ken Follett,1994.0
100223,0316789089,9,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999.0
54005,0345368894,0,"A Company of Stars (Starship Troupers, Book 1)",Christopher Stasheff,1992.0
51094,0380731851,0,Mystic River,Dennis Lehane,2002.0
78236,0684195984,5,FROM POTTER'S FIELD,Patricia Cornwell,1995.0
38229,0449212602,0,The Handmaid's Tale,Margaret Atwood,1989.0
244708,0452282152,0,Girl with a Pearl Earring,Tracy Chevalier,2001.0
37208,0515129968,0,Jezebel's Sister,Emily Carmichael,2001.0
254859,0310239265,7,Stories Behind the Best-Loved Songs of Christmas (Stories Behind Books),Ace Collins,2001.0
102967,0393046923,0,The Electrical Field,Kerri Sakamoto,1999.0
67694,044651862X,0,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994.0
82893,0871317206,0,Julius Caesar,Michael Grant,1992.0
28591,055321893X,10,Grand Finale #254 (Loveswept),Janet Evanovich,1988.0
25630,042513525X,0,Hideaway,Dean R. Koontz,1992.0
67403,0440500702,0,"Schrodinger's Cat Trilogy : \The Universe Next Door\"", \""The Trick Top Hat\"", & \""The Homing Pigeons\""""",ROBERT A. WILSON,1988.0
75591,1565076982,0,Quiet Times for Couples: A Daily Devotional,H. Norman Wright,1997.0
201128,0373288972,6,"For Love Of Rory (Harlequin Historical, No 297)",Barbara Leigh,1995.0
138097,0671695142,0,Twilight's Child (Cutler),V.C. Andrews,1992.0
130474,0425155943,0,Contagion,Robin Cook,1998.0
92547,038045534X,0,Mozart,Marcia Davenport,1991.0
276231,0446610038,0,1st to Die: A Novel,James Patterson,2002.0
60337,0440340608,9,If Beale Street Could Talk,James Baldwin,1988.0
16537,0671762680,1,Dreams : Hidden Meanings and Secrets,Orion,1983.0
138425,0812505182,0,"The Magic of Recluce (Recluce series, Book 1)",L. E. Modesitt Jr.,1992.0
177090,0971880107,0,Wild Animus,Rich Shapero,2004.0
113519,1880323761,0,Parent and Child,Great Books Foundation Staff,1997.0
235434,0060931418,0,Their Eyes Were Watching God,Zora Neale Hurston,1998.0
